AGE,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
39,732497,724218,705506,679519,531162,421688,396941,499519,762791,746501,753176,754242,754536,750239,745278,752232,744146,732904,802249,738123,715425,723609,727818,735422,727767,729970,776075,791737,795225,708654,698281,691679,674645,649040,829776,817281,827747,782535,772319,738512,740160,739415,770194,772795,781657,786783,789734,823145,841238,868124,879771,909178,972098,967946,971570,951764,956854,972753,948291,959107,949399,943595,951165,912804,871203,833831,807054,767068,743730,723110,719002,699467,691683,683739,668854
40,690687,729139,721897,703246,676737,528942,418814,395443,497549,760045,742752,749274,751611,752170,747201,742682,749793,740684,729916,801190,734601,714782,723006,726978,734378,723699,729563,775519,789935,791853,708205,696518,689837,673289,647984,828363,816109,826686,781611,771621,742484,738966,738363,768707,771673,780293,785172,788572,822277,841119,867729,882067,917270,979671,971104,973743,962193,964034,975932,951856,960310,953207,945705,950732,912484,870791,833227,808091,766871,741417,723448,723466,703396,695368,688293
41,717162,687813,726679,718617,699541,673275,526902,417788,393440,495176,756319,739627,744999,747872,751101,743390,739288,746159,737241,727205,798987,733838,714107,722362,725952,733240,719507,729022,774806,787889,788006,706286,694849,688063,671991,646948,826972,814940,825599,780700,776274,741377,737940,737109,767215,770497,778946,783353,787309,821562,841105,869171,889600,923565,983004,973231,980236,969156,968120,979184,953006,963786,955513,945247,950153,911851,870131,833979,807492,764338,741944,727487,727082,706684,699427
42,674202,713634,685244,723756,715748,696914,669286,525153,415454,391674,493099,754650,736509,741573,744013,749230,740335,736457,743634,733845,724092,795641,732971,713326,721530,724759,731907,715220,728363,773965,785497,785415,704310,693097,686300,670633,646061,825741,813901,824596,785070,775046,740292,736677,735861,765623,769335,777495,781371,786189,820941,842516,875888,895310,925982,985695,979649,984960,973216,972222,980248,956333,965669,955105,944551,949191,910933,870585,833206,804929,765085,745668,730747,730207,710624
43,679501,671321,710003,682618,719942,712592,693710,666908,522807,414348,389219,490916,752551,732688,737172,740681,746703,735996,732392,739771,729685,722903,792151,732012,712368,720581,723507,730518,710913,727605,772983,782645,783045,702535,691521,684617,669367,645212,824624,812807,829015,783502,773843,739046,735413,734576,763954,768034,775909,779580,785370,822547,849333,881070,897310,927666,992492,984337,987426,977076,973900,983109,958096,965223,954408,943493,948160,911068,869464,831055,805565,768403,748658,733227,733422
44,626547,675753,668109,706454,677619,716878,708610,690362,662563,520743,412140,387098,488125,750639,729054,732957,736860,745033,731560,729326,736485,728412,721507,788433,730754,711234,719489,722099,729013,706353,726566,770282,780073,780929,700900,689945,683009,668087,644323,823346,816440,826746,781929,772408,737749,733983,733255,762147,766645,774400,778115,787084,829074,854196,882452,898742,933550,997542,986600,990052,978769,976785,984531,957607,964234,953322,942507,948308,910431,866831,832042,808540,770970,751026,736265
45,615303,623627,672197,665223,703115,674258,712463,705042,687600,658984,518405,409794,385716,486262,748832,725038,728747,732731,742284,727499,725376,734852,726891,720036,784536,729352,709928,718334,720461,727282,701331,723845,767574,777526,778809,699210,688407,681489,666875,643372,826737,814044,824739,780076,771015,736535,732534,731722,760198,765327,773073,779806,793254,833637,855485,882945,904075,937727,1000289,989357,990724,981147,978283,983789,956402,962938,952006,942526,947191,908080,867935,834616,811216,772967,753466
46,600065,611789,619821,669042,661938,699169,670548,709836,702252,684229,655048,515682,406909,382829,482604,745617,720802,723654,728759,739589,723628,724005,733020,725130,718336,780430,727876,708533,716937,718726,725260,698383,721086,764890,775080,776603,697616,686863,679967,665736,645422,823886,811778,822245,778085,769531,735219,730986,730075,758325,764041,773960,785943,797752,835272,856397,887740,907659,939638,1003176,990040,992410,982281,977252,982464,954941,961551,951644,941384,944130,909147,870236,836724,813079,774871
47,585621,596667,609307,616655,665180,657785,694410,667954,705976,697924,680325,650769,511292,404759,380580,480453,743551,716353,719177,723928,737354,721627,722285,730737,723134,716332,776009,726175,706984,715354,716682,722246,695535,718390,762227,772630,774442,695909,685308,678415,667500,643547,821440,809103,819664,775920,767957,733669,729270,728438,756400,764534,778856,790443,799251,836140,861048,890940,909244,941770,1003945,991480,992630,981170,975787,980760,953283,960873,950417,938013,945208,911059,872078,838160,814541
48,543640,581954,593137,605576,613031,660733,654057,691099,664060,701433,694523,676612,647714,507924,401647,377249,477596,740905,711377,713743,719678,733449,719426,720301,728354,720821,714251,771447,724140,705130,713497,713478,719160,692731,715613,759566,770116,772280,694251,683740,679954,665342,641717,818494,806254,816594,773595,766299,732104,727605,726688,756856,768632,781994,791970,800168,840980,864338,892304,911060,942201,1004959,991370,991110,979534,974118,979137,952392,959708,946747,939510,946880,912655,873214,839292
