age,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
34,-1765,-1098,-3316,-3438,-2147,-5174,-2916,-4607,-3256,-5710,-2819,-3308,-674,-2676,-2839,-3578,-3042,-3143,-454,-4411,-200,-1439,-2994,188,780,531,497,235,570,-216,-1976,-1608,-1024,-822,-479,-483,-270,-372,-416,4935,-1151,-843,-721,-909,-518,-494,-1471,-934,-719,211,5774,12095,9415,3404,2142,9347,6473,2275,3638,1519,5989,4421,956,905,1209,759,1838,5,-5391,1062,6907,5935,5700,7620
35,-2132,-1533,-2067,-2372,-3235,-3719,-2067,-3132,-4156,-5147,-2181,-3075,-1842,-1223,-3135,-3249,-3652,-3246,-3304,-894,-173,-272,-1534,-3060,125,770,517,458,189,331,-2028,-1723,-1464,-931,-719,-366,-380,-309,-328,5110,-1420,-903,-1012,-562,-649,-306,-520,-1483,-753,-247,4998,12152,9020,3812,1919,9285,5978,2921,3153,869,5470,4127,896,1226,867,822,1550,120,-5263,1299,6586,6075,5289,6909
36,-1846,-855,-1499,-1679,-2397,-3385,-1986,-3607,-2950,-5313,-2657,-3353,-3051,-2535,-561,-3358,-3261,-3560,-3126,-3415,-3805,-129,-294,-1574,-3053,-2,736,438,436,-40,-2339,-1783,-1501,-1263,-772,-599,-315,-341,-277,5283,-1225,-1212,-1158,-911,-206,-492,-359,-547,-1353,632,6736,13806,12114,5853,4565,11287,8486,4999,5238,3012,5047,3765,698,549,903,441,1960,13,-3886,1454,5926,5478,5220,6303
37,-3737,-2097,-1113,-2076,-1499,-3887,-2414,-3359,-2913,-4609,-3276,-3283,-2389,-3310,-2811,-1538,-3272,-3001,-3614,-3523,-840,-3872,-222,-373,-1665,-3192,17,723,370,171,-1595,-2027,-1565,-1301,-1147,-644,-554,-217,-348,4923,-1032,-985,-1510,-1206,-657,68,-628,-464,-410,-542,4601,10351,10278,5054,3328,10558,7196,4105,4403,2002,4516,3414,202,482,202,347,1604,-45,-3372,1047,5564,5221,4759,5623
38,-2896,-2350,-1667,-2055,-1455,-2393,-1768,-3275,-2208,-4149,-950,-3004,-2144,-2220,-3208,-2685,-997,-3352,-3324,-3479,-659,-894,-3869,-287,-437,-1660,-3169,-75,588,-12,-1960,-1523,-1901,-1560,-1279,-1091,-517,-393,-207,4661,-1333,-939,-1305,-1535,-1128,-615,-253,-648,-358,-150,3901,9356,7591,4358,3177,9700,6818,3324,3661,1708,4202,2896,124,415,122,-66,1730,-197,-2646,1047,5189,5042,4395,5582
39,-3317,-1862,-3195,-1767,-1407,-2265,-1397,-2918,-2797,-4269,-3528,-1313,-3732,-3687,-3511,-3559,-2884,-1368,-2979,-3151,-515,-807,-935,-3975,-434,-425,-1745,-3256,-183,312,-2343,-1753,-1302,-1771,-1352,-1162,-928,-486,-415,4528,-1091,-1142,-1195,-1308,-1736,-1056,-815,-263,-516,-112,3053,9705,7500,3052,3503,10671,6686,3693,3407,1409,3755,2833,-148,46,-223,-276,1273,-259,-2583,872,4814,4319,4401,5002
40,-3358,-2321,-2260,-2782,-2220,-2874,-1498,-1970,-2746,-3749,-3902,-2631,-2366,-3038,-2596,-2439,-3462,-2988,-1059,-3522,-643,-603,-840,-1044,-4068,-407,-556,-1802,-3372,-449,-1763,-1842,-1356,-1056,-1413,-1172,-1061,-924,-698,3972,-1194,-1052,-1487,-1122,-1364,-1611,-1162,-868,-119,-395,2296,8092,7573,3158,2173,10429,7180,3179,3565,1203,3808,2110,-433,-320,-412,-604,1037,-197,-2313,338,4464,3929,3685,4554
41,-2874,-2460,-3280,-3705,-3462,-2040,-1026,-2003,-2373,-3726,-3125,-4275,-3739,-1069,-3811,-3394,-3634,-3443,-2711,-2203,-763,-675,-644,-1026,-1138,-4192,-541,-713,-2046,-3847,-1919,-1669,-1774,-1298,-1036,-1391,-1169,-1087,-911,4653,-1107,-1026,-1254,-1492,-1176,-1347,-1819,-1263,-715,-14,1442,7533,6295,3333,2127,6493,6963,4086,3252,1150,3476,2306,-458,-579,-633,-660,752,-599,-2533,527,4039,3616,3288,4059
42,-3528,-2569,-2923,-2869,-2627,-3989,-1749,-2334,-1766,-2077,-1669,-3118,-3426,-3859,-1871,-3055,-2831,-2525,-3396,-3113,-3346,-867,-781,-832,-1193,-1333,-4287,-659,-841,-2392,-2591,-1976,-1752,-1763,-1358,-887,-1231,-1039,-1003,4370,-1228,-1085,-1263,-1248,-1592,-1162,-1451,-1982,-1120,-621,1411,6717,5710,2417,2691,6418,4724,4060,4102,1064,3327,1883,-408,-696,-962,-918,454,-773,-2563,747,3724,3260,3125,3940
43,-2881,-3631,-2626,-3814,-3156,-3204,-2378,-2346,-1106,-2455,-2183,-2099,-3821,-4401,-3332,-2527,-4339,-4065,-3863,-4160,-1189,-3490,-959,-958,-949,-1252,-1389,-4307,-758,-982,-2852,-2370,-1775,-1576,-1683,-1266,-849,-1117,-1094,4419,-1568,-1203,-1246,-1264,-1285,-1669,-1301,-1586,-1791,-819,1606,6817,5182,2000,1684,6797,4688,2466,3860,1678,2861,1763,-446,-697,-1058,-1031,135,-1121,-2151,636,3318,2990,2480,3215
